time,temperature_2m_max,temperature_2m_min,precipitation_sum,weathercode
2015-01-01,27.4,23.6,1.8,53
2015-01-02,28.7,22.7,0.0,0
2015-01-03,28.7,21.9,0.0,3
2015-01-04,29.2,22.6,0.0,2
2015-01-05,29.2,23.3,0.0,2
2015-01-06,29.7,23.3,0.0,1
2015-01-07,29.7,23.6,0.0,1
2015-01-08,28.4,23.4,0.2,51
2015-01-09,28.0,23.7,0.4,51
2015-01-10,29.4,22.6,0.0,0
2015-01-11,29.6,23.3,0.0,1
2015-01-12,28.3,21.7,0.0,3
2015-01-13,29.1,21.4,0.0,1
2015-01-14,27.9,22.0,0.0,3
2015-01-15,29.3,22.6,0.0,3
2015-01-16,29.4,23.3,0.0,3
2015-01-17,29.4,23.5,0.0,3
2015-01-18,30.0,23.6,0.0,3
2015-01-19,29.7,23.6,0.1,51
2015-01-20,29.6,23.4,0.1,51
2015-01-21,29.9,23.1,0.0,1
2015-01-22,29.3,23.7,0.1,51
2015-01-23,29.8,22.6,0.0,3
2015-01-24,29.8,22.7,0.0,1
2015-01-25,30.2,23.2,0.0,3
2015-01-26,30.1,22.8,0.0,3
2015-01-27,29.7,22.7,0.0,3
2015-01-28,30.0,23.2,0.0,3
2015-01-29,30.6,24.3,0.0,3
2015-01-30,30.2,24.0,0.1,51
2015-01-31,30.8,25.2,0.0,3
2015-02-01,30.5,24.1,0.0,2
2015-02-02,31.3,23.2,0.0,3
2015-02-03,32.2,23.7,0.2,51
2015-02-04,31.5,24.2,0.0,3
2015-02-05,30.8,24.8,0.0,3
2015-02-06,30.9,25.1,0.4,51
2015-02-07,30.6,24.2,0.0,3
2015-02-08,30.9,24.6,0.0,1
2015-02-09,30.3,24.0,0.0,1
2015-02-10,30.2,23.4,0.0,1
2015-02-11,31.3,25.1,0.4,51
2015-02-12,31.0,24.2,0.0,1
2015-02-13,30.4,24.6,0.6,51
2015-02-14,31.2,24.3,0.3,51
2015-02-15,30.5,24.6,0.0,2
2015-02-16,31.0,24.6,0.0,3
2015-02-17,30.5,24.6,0.0,3
2015-02-18,29.8,24.5,0.0,3
2015-02-19,29.6,23.8,0.0,3
2015-02-20,30.9,24.9,0.0,1
2015-02-21,31.0,23.7,0.0,1
2015-02-22,31.0,23.3,0.0,3
2015-02-23,30.7,22.3,0.0,2
2015-02-24,31.5,23.2,0.0,1
2015-02-25,31.4,24.3,0.0,1
2015-02-26,30.2,24.1,0.0,2
2015-02-27,30.6,25.6,0.5,53
2015-02-28,30.7,25.5,1.2,53
2015-03-01,30.9,24.5,1.9,61
2015-03-02,30.1,24.4,2.8,63
2015-03-03,30.1,25.3,2.0,53
2015-03-04,30.7,25.3,2.7,61
2015-03-05,31.5,26.0,0.3,51
2015-03-06,32.0,25.2,3.5,61
2015-03-07,30.8,24.4,2.7,55
2015-03-08,30.3,23.9,4.9,61
2015-03-09,30.1,24.7,0.0,2
2015-03-10,31.0,24.7,0.0,2
2015-03-11,31.3,24.5,0.0,1
2015-03-12,31.1,24.6,0.0,1
2015-03-13,31.8,24.8,0.4,51
2015-03-14,30.9,24.9,0.3,51
2015-03-15,31.3,24.9,1.0,51
2015-03-16,31.3,25.1,7.6,63
2015-03-17,31.1,25.1,0.0,3
2015-03-18,30.5,25.6,0.0,3
2015-03-19,30.9,25.1,0.0,2
2015-03-20,31.2,25.1,0.0,1
2015-03-21,31.6,25.2,0.0,2
2015-03-22,32.2,25.5,0.0,1
2015-03-23,31.5,26.2,0.0,1
2015-03-24,31.8,27.4,0.0,1
2015-03-25,31.3,25.6,0.0,2
2015-03-26,31.4,26.1,0.0,3
2015-03-27,32.7,25.8,0.6,53
2015-03-28,31.8,25.8,0.0,1
2015-03-29,32.0,26.0,1.5,53
2015-03-30,32.0,25.9,4.8,63
2015-03-31,31.1,25.2,0.3,51
2015-04-01,31.5,25.6,16.5,63
2015-04-02,30.4,24.8,0.9,53
2015-04-03,31.5,25.8,5.6,63
2015-04-04,32.1,25.8,1.0,53
2015-04-05,33.0,27.0,0.0,3
2015-04-06,30.7,26.7,0.9,53
2015-04-07,31.9,25.9,2.1,53
2015-04-08,30.1,25.5,1.1,51
2015-04-09,30.8,25.5,2.6,55
2015-04-10,31.0,24.8,3.0,61
2015-04-11,30.7,25.4,6.7,63
2015-04-12,30.6,25.4,4.6,63
2015-04-13,28.3,24.9,16.7,63
2015-04-14,30.4,24.4,4.1,61
2015-04-15,30.2,24.6,2.9,53
2015-04-16,29.8,24.8,3.8,53
2015-04-17,30.7,25.0,2.3,53
2015-04-18,30.8,24.8,0.5,51
2015-04-19,31.0,25.4,3.3,61
